having_IPhaving_IP_Address,URLURL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,port,Result
-1,1,1,1,-1,-1,-1,-1,1,-1
1,1,1,1,1,-1,0,1,1,-1
1,0,1,1,1,-1,-1,-1,1,-1
1,0,1,1,1,-1,-1,-1,1,-1
1,0,-1,1,1,-1,1,1,1,1
-1,0,-1,1,-1,-1,1,1,1,1
1,0,-1,1,1,-1,-1,-1,1,-1
1,0,1,1,1,-1,-1,-1,1,-1
1,0,-1,1,1,-1,1,1,1,1
1,1,-1,1,1,-1,-1,1,1,-1
1,1,1,1,1,-1,0,1,1,1
1,1,-1,1,1,-1,1,-1,1,-1
-1,1,-1,1,-1,-1,0,0,1,-1
1,1,-1,1,1,-1,0,-1,1,-1
1,1,-1,1,1,1,-1,1,1,1
1,-1,-1,-1,1,-1,0,0,1,-1
1,-1,-1,1,1,-1,1,1,1,-1
1,-1,1,1,1,-1,-1,0,-1,-1
1,1,1,1,1,-1,-1,1,1,1
1,1,1,1,1,-1,-1,1,1,1
1,0,-1,1,1,-1,0,1,1,1
1,0,1,1,1,-1,0,1,1,1
1,1,1,1,1,-1,-1,-1,1,1
1,1,1,1,1,-1,1,0,1,1
1,-1,-1,-1,1,-1,1,1,1,1
1,-1,1,1,1,-1,0,1,1,1
1,-1,1,1,1,-1,0,-1,1,-1
1,-1,-1,1,1,1,-1,1,1,1
1,-1,-1,1,-1,1,-1,1,1,1
1,-1,1,1,1,-1,-1,1,1,1
1,-1,1,1,1,-1,-1,1,1,1
1,-1,1,1,1,-1,-1,1,1,1
1,-1,1,1,1,1,1,1,1,1
1,0,1,1,1,-1,-1,1,1,1
1,0,1,1,1,-1,0,0,1,-1
1,0,1,1,1,-1,-1,-1,1,-1
1,0,1,1,1,-1,-1,1,1,-1
1,0,1,1,1,-1,-1,-1,1,-1
1,1,1,1,1,1,-1,1,1,1
1,-1,1,1,1,-1,0,-1,1,1
1,-1,1,1,1,1,1,1,1,1
-1,-1,-1,1,-1,-1,1,1,1,1
1,-1,1,1,1,-1,-1,-1,-1,-1
1,-1,1,1,1,-1,0,0,1,-1
1,-1,1,-1,1,-1,0,-1,1,-1
1,1,1,1,1,-1,0,1,1,1
-1,1,-1,1,-1,1,-1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,-1
1,-1,1,1,1,-1,-1,1,1,-1
1,-1,1,1,1,-1,1,1,1,1
1,-1,1,1,1,-1,1,1,1,-1
1,1,1,1,1,-1,1,1,1,1
-1,-1,-1,1,-1,1,-1,1,1,1
1,-1,1,1,1,-1,1,-1,1,-1
1,-1,1,1,1,-1,0,-1,-1,-1
1,-1,1,1,1,-1,0,0,-1,-1
-1,-1,-1,1,-1,1,1,1,1,1
1,-1,1,1,1,-1,1,1,-1,1
1,-1,1,1,1,-1,-1,-1,-1,-1
-1,-1,-1,1,-1,-1,0,0,-1,-1
1,-1,1,1,1,-1,1,-1,1,-1
1,-1,1,1,1,-1,1,-1,1,-1
1,1,1,1,1,1,0,1,1,1
1,-1,1,1,1,-1,-1,1,1,-1
1,1,1,1,-1,1,1,1,1,1
1,-1,1,1,1,-1,0,1,1,1
1,1,1,1,-1,-1,-1,-1,-1,-1
1,-1,1,1,-1,-1,0,-1,1,-1
1,-1,1,1,1,1,-1,1,1,1
1,-1,1,1,-1,-1,-1,-1,1,-1
1,-1,1,1,1,-1,1,1,1,1
-1,-1,-1,1,-1,-1,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,-1
1,-1,1,1,-1,1,-1,1,1,1
1,-1,1,1,-1,-1,0,0,1,-1
1,-1,1,1,-1,-1,1,-1,1,-1
1,-1,1,1,-1,1,0,1,-1,1
1,-1,1,1,-1,1,1,1,-1,1
1,-1,1,1,1,-1,-1,-1,1,-1
-1,-1,-1,1,-1,-1,-1,1,1,1
1,-1,1,1,-1,-1,0,-1,1,-1
1,1,1,1,1,-1,0,1,1,1
1,-1,1,1,1,1,-1,1,1,1
1,1,1,-1,1,-1,1,1,1,1
1,1,1,1,1,-1,1,1,1,1
-1,-1,-1,1,1,-1,0,0,1,-1
1,-1,1,1,-1,-1,1,-1,-1,-1
1,1,1,1,-1,-1,-1,1,1,1
1,-1,1,1,1,1,1,1,1,1
-1,1,-1,1,-1,-1,0,0,1,-1
1,-1,1,1,1,-1,1,-1,1,-1
-1,-1,-1,1,-1,1,1,1,1,1
1,-1,1,1,1,-1,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,-1
1,-1,1,1,1,-1,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,-1
1,-1,1,1,1,-1,1,1,1,-1
1,1,1,1,1,-1,-1,-1,1,-1
-1,-1,-1,1,-1,-1,-1,-1,1,-1
1,-1,1,1,1,-1,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,-1
1,-1,1,1,1,-1,-1,-1,1,-1
1,-1,1,1,1,-1,0,1,1,1
1,-1,1,1,1,-1,-1,-1,1,-1
1,-1,1,1,1,-1,-1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,-1
1,-1,1,1,1,-1,-1,-1,1,-1
1,-1,1,1,1,-1,1,-1,1,-1
1,-1,1,1,1,-1,0,1,1,1
1,-1,1,1,1,-1,-1,-1,1,-1
1,-1,1,1,1,-1,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,-1
1,-1,1,1,1,-1,1,1,1,-1
1,-1,1,1,1,1,-1,1,1,1
1,1,1,1,1,-1,-1,1,1,-1
1,-1,1,1,1,-1,0,1,1,1
-1,1,-1,1,-1,-1,1,-1,1,-1
1,-1,1,1,1,-1,0,0,1,-1
1,-1,1,1,1,1,1,1,1,1
1,-1,1,1,1,-1,1,1,-1,1
1,-1,1,1,1,-1,-1,-1,1,1
1,-1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,0,-1,1,1
1,-1,1,1,1,-1,-1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,-1
1,1,1,1,1,-1,0,1,-1,1
1,-1,1,1,1,-1,0,1,1,1
1,1,1,1,1,-1,1,1,1,1
1,-1,1,1,1,1,0,-1,1,1
1,-1,1,1,-1,-1,-1,1,1,-1
1,-1,1,1,-1,-1,-1,0,1,-1
1,-1,1,1,1,-1,-1,1,1,1
1,-1,1,1,-1,-1,1,-1,1,-1
-1,-1,-1,1,1,-1,-1,1,1,1
1,-1,1,1,1,-1,0,-1,1,-1
1,-1,1,1,-1,-1,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,-1
-1,-1,-1,1,1,1,1,1,1,1
1,-1,1,1,1,-1,0,0,1,-1
1,-1,1,1,-1,-1,-1,1,1,-1
1,-1,1,1,1,-1,-1,1,1,-1
1,1,1,-1,1,-1,0,0,1,-1
1,-1,1,1,1,-1,1,-1,1,-1
1,-1,1,1,1,-1,1,-1,1,-1
1,1,1,1,1,-1,-1,-1,1,-1
1,-1,1,1,1,-1,-1,1,1,-1
1,-1,1,1,1,-1,-1,-1,1,-1
1,-1,1,1,1,-1,0,1,1,1
1,-1,1,1,1,-1,-1,1,1,1
1,1,1,1,1,-1,1,1,1,1
-1,1,-1,1,-1,-1,-1,1,1,1
1,-1,1,1,1,-1,1,1,1,1
1,-1,1,1,1,-1,-1,1,1,1
1,-1,1,1,1,-1,-1,1,1,1
1,-1,1,-1,1,-1,-1,-1,1,-1
1,-1,1,1,1,-1,1,1,1,1
-1,-1,-1,1,-1,-1,-1,-1,1,-1
1,-1,1,1,1,-1,0,0,1,-1
1,-1,1,1,1,-1,0,1,1,1
1,-1,1,1,1,-1,0,1,1,1
1,-1,1,1,1,-1,1,1,1,1
1,-1,1,1,1,-1,1,1,1,1
-1,-1,-1,1,-1,-1,0,0,1,-1
1,1,1,1,1,1,-1,1,1,1
1,-1,1,1,1,-1,0,0,1,-1
1,1,1,1,1,1,-1,1,1,1
-1,-1,-1,1,-1,-1,-1,1,1,1
1,-1,1,1,1,-1,1,1,1,1
1,-1,1,1,1,-1,-1,1,1,-1
1,-1,1,1,1,1,0,1,1,1
-1,-1,-1,1,-1,-1,0,0,1,-1
1,-1,1,1,1,-1,1,1,1,1
1,-1,1,1,1,-1,-1,1,1,1
